rmax,lam,std,init_acc,final_acc,retrains,unlearn_cost,exec_time
1e-07,0.0001,0.1,0.0,0.0,999,999.0,58.91067695617676
1e-07,0.0001,0.05,0.0,0.0,999,999.0,65.97286605834961
1e-09,0.0001,0.1,0.0,0.0,999,999.0,52.78561878204346
1e-09,0.0001,0.05,0.0,0.0,999,999.0,53.90283250808716
1e-10,0.0001,0.1,0.0,0.0,999,999.0,52.33290100097656
1e-10,0.0001,0.05,0.0,0.0,999,999.0,53.18537783622742
